country,page
Afghanistan,Alhaj Mutalib Baig
Afghanistan,Fareeda Kuchi Balkhi
Afghanistan,Ismail Balkhi
Afghanistan,Abdul Baqi Turkistani
Afghanistan,Mohammad Ghous Bashiri
Afghanistan,Jan Baz
Afghanistan,Ahmad Behzad
Afghanistan,Bashir Ahmad Bezan
Afghanistan,Rafiullah Bidar
Afghanistan,Mohammad Siddiq Chakari
Afghanistan,Cheragh Ali Cheragh
Afghanistan,Mohammad Fahim Dashty
Afghanistan,Muhammad Hashim Esmatullahi
Afghanistan,Ezatullah (Nangarhar)
Afghanistan,Aimal Faizi
Afghanistan,Mohammad Nasim Faqiri
Afghanistan,Mohammad Nazar Faqiri (Baghlan 1955)
Afghanistan,Ravan A. G. Farhâdi
Afghanistan,First Lady of Afghanistan
Afghanistan,Sharif Ghalib
Afghanistan,Mohammed Zaman
Afghanistan,Hashmat Ghani Ahmadzai
Afghanistan,Abdul Ghani Ghani
Afghanistan,Ghulam Mohammad Ghobar
Afghanistan,Mohammad Gul (Helmand Council)
Afghanistan,Abdullah Habibi
Afghanistan,Mohammad Shafiq Hamdam
Afghanistan,Ghulam Haider Hamidi
Afghanistan,Abdul Malik Hamwar
Afghanistan,Hazrat-U-Din
Afghanistan,Qutbuddin Hilal
Afghanistan,Shahnaz Himmeti
Afghanistan,Anarkali Kaur Honaryar
Afghanistan,Mahboba Hoqomal
Afghanistan,Musa Hotak
Afghanistan,Mirza Muhammad Ismail
Afghanistan,Sayed Jalal
Afghanistan,Said Tayeb Jawad
Afghanistan,Faizullah Kakar
Afghanistan,Amin Karim
Afghanistan,Sayed Jalal Karim
Afghanistan,Ahmed Wali Karzai
Afghanistan,Hafizullah Shabaz Khail
Afghanistan,Massoud Khalili
Afghanistan,Mohammad Khan (athlete)
Afghanistan,Samoud Khan
Afghanistan,Mahbob-U-lah Koshani
Afghanistan,Baran Khan Kudezai
Afghanistan,Azizullah Lodin
Afghanistan,Razaq Mamoon
Afghanistan,Ahmad Wali Massoud
Afghanistan,Mohammad Daud Miraki
Afghanistan,Syed Gulam Farooq Mirranay
Afghanistan,Mohammad Rauf Mehdi
Afghanistan,Ali Mohammad
Afghanistan,Nasruddin Mohseni
Afghanistan,Zalmai Mojadidi
Afghanistan,Davood Moradian
Afghanistan,Ezatullah Mujahid
Afghanistan,Fazal Haq Mujahid
Afghanistan,Rahmatullah Nabil
Afghanistan,Sardar Mohammad Nadir Naeem
Afghanistan,Gholam Rabani Nasher
Afghanistan,Muhammad Yunus Nawandish
Afghanistan,Enayatullah Nazari
Afghanistan,Ghulam Faroq Nijrabi
Afghanistan,Zabih-U-llah Ghazi Noristani
Afghanistan,Mohammed Tahir Omar
Afghanistan,Nasrin Oryakhil
Afghanistan,Ismail Qasim Yar
Afghanistan,Murad Quenili
Afghanistan,Ghulam Mohammad Rigi
Afghanistan,Rouh Gul Khairzad
Afghanistan,Ghulam Hassan Safi
Afghanistan,Hanifa Safi
Afghanistan,Amrullah Saleh
Afghanistan,Mohammed Zia Salehi
Afghanistan,Abdul Majid Samim
Afghanistan,Saber Sangar
Afghanistan,Muhammad Arif Sarwari
Afghanistan,Sayed Nasim Mihanparast
Afghanistan,Sayed Yousuf Mirranay
Afghanistan,Sayed Zafar Hashemi
Afghanistan,Shafiqa Habibi
Afghanistan,Shakila (Kabul)
Afghanistan,Awtar Singh
Afghanistan,Hasan Ali Sultani
Afghanistan,Faramarz Tamanna
Afghanistan,Mohammad Hashem Taufiqui
Afghanistan,Nur ul-Haq Ulumi
Afghanistan,Pacha Gul Wafadar
Afghanistan,Wahidullah Waissi
Afghanistan,Gul Ahmmad Yama
Afghanistan,Al-Haj Suliman Yari
Afghanistan,Abdul Salam Zaeef
Afghanistan,Abdul Zahir (Konar Education Minister)
Afghanistan,Ziauddin (Afghan militia leader)
Afghanistan,Qari Ziauddin
Afghanistan,Abdul Ghafor Zori
Albania,Ramiz Alia
Albania,Beqir Balluku
Albania,Liri Belishova
Albania,Gerti Bogdani
Albania,Gjergj Bojaxhi
Albania,Endrit Braimllari
Albania,Ylli Bufi
Albania,Aldo Bumçi
Albania,Arta Dade
Albania,Damian Gjiknuri
Albania,Klajda Gjosha
Albania,Edmond Haxhinasto
Albania,Arben Imami
Albania,Kastriot Islami
Albania,Teodor Keko
Albania,Abdyl Këllezi
Albania,Sali Kelmendi
Albania,Mimi Kodheli
Albania,Monika Kryemadhi
Albania,Besim Kuka
Albania,Mirela Kumbaro
Albania,Valentina Leskaj
Albania,Pandeli Majko
Albania,Ledina Mandia
Albania,Rexhep Meidani
Albania,Aleksandër Meksi
Albania,Tahir Muhedini
Albania,Prokop Murra
Albania,Fatos Nano
Albania,Hysen Osmanaj
Albania,Edmond Panariti
Albania,Gramoz Pashko
Albania,Avenir Peka
Albania,Genc Pollo
Albania,Ferdinand Poni
Albania,Edi Rama
Albania,Avni Rrustemi
Albania,Genc Ruli
Albania,Njazi Kosovrasti
Albania,Gent Strazimiri
Albania,Dëshira Subashi
Albania,Jorida Tabaku
Albania,Myqerem Tafaj
Albania,Saimir Tahiri
Albania,Bamir Topi
Albania,Abdi Toptani
Albania,Essad Pasha Toptani
Albania,Murat Toptani
Albania,Olta Xhaçka
Albania,Klement Zguri
Albania,List of Ministers of Foreign Affairs of Albania
Albania,Ledina Aliolli
Albania,Liri Belishova
Albania,Majlinda Bregu
Albania,Rajmonda Bulku
Albania,Lenka Çuko
Albania,Arta Dade
Albania,Mesila Doda
Albania,Grida Duma
Albania,Fiqirete Shehu
Albania,Adriana Gjonaj
Albania,Klajda Gjosha
Albania,Mimoza Hafizi
Albania,Paulina Hoti
Albania,Nexhmije Hoxha
Albania,Floida Kërpaçi
Albania,Mimi Kodheli
Albania,Musine Kokalari
Albania,Monika Kryemadhi
Albania,Mirela Kumbaro
Albania,Reme Lala
Albania,Valentina Leskaj
Albania,Ledina Mandia
Albania,Lindita Nikolla
Albania,Orjola Pampuri
Albania,Lajla Pernaska
Albania,Jozefina Topalli
Albania,Arenca Trashani
Albania,Albana Vokshi
Albania,Olta Xhaçka
Albania,Abdullah Pashe Taushani
Albania,Fejzi Alizoti
Albania,Dhimitër Beratti
Albania,Kostandin Boshnjaku
Albania,Luigj Bumçi
Albania,Pandeli Cale
Albania,Avni bej Delvina
Albania,Vehbi Dibra
Albania,Prenk Bib Doda
Albania,Hasan Dosti
Albania,Ferhat Bey Draga
Albania,Aqif Pasha Elbasani
Albania,Kristo Floqi
Albania,Mehdi Frashëri
Albania,Veli Gërra
Albania,Veli Harxhi
Albania,Dervish Hima
Albania,Hysen Hoxha
Albania,Dhimitër Ilo
Albania,Nikollë Kaçorri
Albania,Zihni Abaz Kanina
Albania,Qemal Karaosmani
Albania,Babë Dud Karbunara
Albania,Mahmud Efendi Kaziu
Albania,Veli Këlcyra
Albania,Kristo Kirka
Albania,Qazim Kokoshi
Albania,Sotir Kolea
Albania,Mehmet Konica
Albania,Ahmet Koronica
Albania,Idhomene Kosturi
Albania,Ismet Bey Kryeziu
Albania,Myfid bej Libohova
Albania,Tefik Mborja
Albania,Kristo Meksi
Albania,Feim Mezhgorani
Albania,Qazim Mulleti
Albania,Behxhet Nepravishta
Albania,Sali Nivica
Albania,Zyhdi Ohri
Albania,Jani Papadhopulli
Albania,Sotir Peçi
Albania,Petro Poga
Albania,Hasan Prishtina
Albania,Kadri Prishtina
Albania,Aristidh Ruci
Albania,Nuri Sojliu
Albania,Ibrahim Temo
Albania,Abdi Toptani
Albania,Murat Toptani
Albania,Mihal Turtulli
Albania,Dhimitër Tutulani
Albania,Sejfi Vllamasi
Albania,Syrja Vlora
Albania,Zyhdi Vlora
Albania,Ferit Vokopola
Albania,Sulejman Vokshi
Albania,Aziz Vrioni
Albania,Qemal Bey Vrioni
Albania,Sami Bey Vrioni
Albania,Salih Bey Vuçitërni
Albania,Mahmud Xhelaledini
Albania,Jakup Xherahu
Albania,Dritëro Agolli
Albania,Ali Ahmeti
Albania,Fejzi Alizoti
Albania,Ali Asllani
Albania,Muho Asllani
Albania,Olsi Baze
Albania,Besnik Bekteshi
Albania,Liri Belishova
Albania,Dhimitër Beratti
Albania,Nafiz Bezhani
Albania,Bilbil Klosi
Albania,Gëzim Boçari
Albania,Kostandin Boshnjaku
Albania,Luigj Bumçi
Albania,Xhemal Bushati
Albania,Hito Çako
Albania,Pandeli Cale
Albania,Foto Çami
Albania,Adil Çarçani
Albania,Costa Chekrezi
Albania,Hajredin Çeliku
Albania,Vangjel Çërrava
Albania,Maksim Cikuli
Albania,Ramadan Çitaku
Albania,Lenka Çuko
Albania,Riza Dani
Albania,Thoma Deliana
Albania,Avni bej Delvina
Albania,Adem Demaçi
Albania,Vehbi Dibra
Albania,Prenk Bib Doda
Albania,Pirro Dodbiba
Albania,Sokrat Dodbiba
Albania,Petro Dode
Albania,Hasan Dosti
Albania,Ajdin Draga
Albania,Ferhat Bey Draga
Albania,Petrit Dume
Albania,Aqif Pasha Elbasani
Albania,Fiqirete Shehu
Albania,Gjergj Fishta
Albania,Kristo Floqi
Albania,Mehdi Frashëri
Albania,Midhat Frashëri
Albania,Llambi Gegprifti
Albania,Veli Gërra
Albania,Lefter Goga
Albania,Mihal Grameno
Albania,Anton Harapi
Albania,Veli Harxhi
Albania,Kadri Hazbiu
Albania,Dervish Hima
Albania,Hysen Hoxha
Albania,Dhimitër Ilo
Albania,Hekuran Isai
Albania,Nikollë Kaçorri
Albania,Zihni Abaz Kanina
Albania,Vito Kapo
Albania,Qemal Karaosmani
Albania,Babë Dud Karbunara
Albania,Mahmud Efendi Kaziu
Albania,Teodor Keko
Albania,Veli Këlcyra
Albania,Abdyl Këllezi
Albania,Bajram Kelmendi
Albania,Kristo Kirka
Albania,Avni Klinaku
Albania,Qazim Kokoshi
Albania,Sotir Kolea
Albania,Pirro Kondi
Albania,Mehmet Konica
Albania,Idhomene Kosturi
Albania,Ceno Bey Kryeziu
Albania,Ismet Bey Kryeziu
Albania,Teodor Laço
Albania,"Leka I, Crown Prince of Albania"
Albania,Myfid bej Libohova
Albania,Haxhi Lleshi
Albania,Shkelzen Maliqi
Albania,Tefik Mborja
Albania,Ermelinda Meksi
Albania,Kristo Meksi
Albania,Feim Mezhgorani
Albania,Qirjako Mihali
Albania,Pali Miska
Albania,Ndre Mjeda
Albania,Qazim Mulleti
Albania,Prokop Murra
Albania,Kiço Mustaqi
Albania,Manush Myftiu
Albania,Behxhet Nepravishta
Albania,Kiço Ngjela
Albania,Sali Nivica
Albania,Fan S. Noli
Albania,Zyhdi Ohri
Albania,Jani Papadhopulli
Albania,Josif Pashko
Albania,Dhimitër Pasko
Albania,Sotir Peçi
Albania,Pilo Peristeri
Albania,Myslim Peza
Albania,Petro Poga
Albania,Mihal Prifti
Albania,Hasan Prishtina
Albania,Kadri Prishtina
Albania,Edi Rama
Albania,Aristidh Ruci
Albania,Sylejman Selimi
Albania,Feçor Shehu
Albania,Medar Shtylla
Albania,Dhimitër Shuteriqi
Albania,Nuri Sojliu
Albania,Nako Spiru
Albania,Ibrahim Temo
Albania,Koço Theodhosi
Albania,Abdi Toptani
Albania,Murat Toptani
Albania,Haki Toska
Albania,Misto Treska
Albania,Kolë Tromara
Albania,Mihal Turtulli
Albania,Dhimitër Tutulani
Albania,Sejfi Vllamasi
Albania,Eqrem Vlora
Albania,Syrja Vlora
Albania,Zyhdi Vlora
Albania,Ferit Vokopola
Albania,Aziz Vrioni
Albania,Isuf Vrioni
Albania,Qemal Bey Vrioni
Albania,Sami Bey Vrioni
Albania,Salih Bey Vuçitërni
Albania,Mahmud Xhelaledini
Albania,Jakup Xherahu
Albania,Mihal Zallari
Albania,Dritëro Agolli
Albania,Ali Ahmeti
Albania,Enkelejd Alibeaj
Albania,Ledina Aliolli
Albania,Ndriçim Babasi
Albania,Ilir Bano
Albania,Kosta Barka
Albania,Lulzim Basha
Albania,Olsi Baze
Albania,Fatos Beja
Albania,Ilir Beqaj
Albania,Sali Berisha
Albania,Fatmir Besimi
Albania,Ben Blushi
Albania,Gëzim Boçari
Albania,Luçiano Boçi
Albania,Ridvan Bode
Albania,Gerti Bogdani
Albania,Gjergj Bojaxhi
Albania,Majlinda Bregu
Albania,Rajmonda Bulku
Albania,Aldo Bumçi
Albania,Astrit Bushati
Albania,Ditmir Bushati
Albania,Aurel Bylykbashi
Albania,Foto Çami
Albania,Igli Cara
Albania,Maksim Cikuli
Albania,Kreshnik Çipi
Albania,Rrahim Çota
Albania,Arta Dade
Albania,Leonard Demi
Albania,Gëzim Dibra
